Source Port,Destination Port,NAT Source Port,NAT Destination Port,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received,Original_Action,Unsupervised_Prediction,Supervised_Prediction,Risk_label
51120,80,28128,80,366,240,126,7,21,5,2,allow,0,0,Normal
49192,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
64406,25174,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
59564,57470,0,0,66,66,0,1,0,1,0,deny,1,1,High Risk
31021,35440,0,0,146,146,0,1,0,1,0,deny,1,1,High Risk
57073,57470,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
50076,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
49978,53,47119,53,774,101,673,2,31,1,1,allow,0,0,Normal
61785,64147,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
2180,63710,0,0,66,66,0,1,0,1,0,deny,1,1,High Risk
56921,443,49898,443,8416,2142,6274,25,330,12,13,allow,1,0,Potential Threat
58638,5900,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
64085,443,64085,443,140818,8751,132067,156,168,57,99,allow,1,0,Potential Threat
9745,26467,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
50353,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
37011,25174,0,0,146,146,0,1,0,1,0,deny,1,1,High Risk
65487,53,21256,53,184,94,90,2,30,1,1,allow,0,0,Normal
57083,53,56856,53,755,94,661,2,31,1,1,allow,0,0,Normal
55045,443,26442,443,5541,2778,2763,24,15,14,10,allow,1,0,Potential Threat
64031,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
57851,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
62323,443,8004,443,6383,2838,3545,17,135,9,8,allow,1,0,Potential Threat
55069,443,55069,443,4517,1610,2907,19,27,11,8,allow,1,0,Potential Threat
56663,53,55920,53,181,94,87,2,30,1,1,allow,0,0,Normal
64524,53,42733,53,184,94,90,2,31,1,1,allow,0,0,Normal
51975,80,44833,80,426,240,186,8,25,5,3,allow,0,0,Normal
63751,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
49552,80,31507,80,1963,1067,896,11,15,6,5,allow,0,0,Normal
53077,80,56021,80,1352,625,727,8,75,5,3,allow,1,0,Potential Threat
48839,37807,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
51017,80,29159,80,2654,796,1858,12,18,7,5,allow,0,0,Normal
36712,53,0,0,138,69,69,2,30,1,1,allow,0,0,Normal
63820,27441,46760,27441,70,70,0,1,4,1,0,allow,1,0,Potential Threat
50584,61421,62887,61421,166,166,0,1,1199,1,0,allow,1,0,Potential Threat
56288,53,3353,53,200,102,98,2,30,1,1,allow,0,0,Normal
35499,443,34865,443,2270,1303,967,20,102,11,9,allow,1,0,Potential Threat
80,56289,0,0,578,578,0,1,0,1,0,deny,1,1,High Risk
62890,993,29471,993,9624,4559,5065,88,196,45,43,allow,1,0,Potential Threat
12545,25174,0,0,146,146,0,1,0,1,0,deny,1,1,High Risk
49946,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
50081,443,6983,443,18754,5240,13514,31,16,15,16,allow,1,0,Potential Threat
59850,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
2321,53,2321,53,216,98,118,2,30,1,1,allow,1,0,Potential Threat
57071,53,20542,53,166,86,80,2,29,1,1,allow,0,0,Normal
58638,5900,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
16522,26467,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
58638,5900,58638,5900,66,66,0,1,4,1,0,allow,1,0,Potential Threat
49854,80,32743,80,14603,5117,9486,24,89,12,12,allow,1,0,Potential Threat
57590,80,57590,80,1165239,13055,1152184,977,149,193,784,allow,1,0,Potential Threat
51940,53,28110,53,199,94,105,2,30,1,1,allow,0,0,Normal
35570,443,53736,443,3297,2327,970,22,37,11,11,allow,1,0,Potential Threat
60883,64147,0,0,74,74,0,1,0,1,0,deny,1,1,High Risk
64416,53,56387,53,291,110,181,2,30,1,1,allow,0,0,Normal
42993,443,4203,443,7821,3237,4584,39,149,19,20,allow,1,0,Potential Threat
40521,23117,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
50209,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
51965,48708,39312,48708,70,70,0,2,8,2,0,allow,1,0,Potential Threat
9474,53,9474,53,237,91,146,2,33,1,1,allow,1,0,Potential Threat
52363,123,30662,123,184,94,90,2,30,1,1,allow,0,0,Normal
60312,57470,0,0,74,74,0,1,0,1,0,deny,1,1,High Risk
56019,53,28168,53,194,102,92,2,31,1,1,allow,0,0,Normal
11061,4229,0,0,145,145,0,1,0,1,0,deny,1,1,High Risk
45155,443,55125,443,4000,1726,2274,13,135,6,7,allow,1,0,Potential Threat
11458,2767,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
56155,53,9599,53,199,102,97,2,30,1,1,allow,0,0,Normal
44979,443,39259,443,10311,2186,8125,26,186,14,12,allow,1,0,Potential Threat
60155,23718,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
27209,30170,0,0,145,145,0,1,0,1,0,deny,1,1,High Risk
53470,22114,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
53651,47758,20351,47758,70,70,0,2,7,2,0,allow,1,0,Potential Threat
49884,53,8513,53,252,102,150,2,30,1,1,allow,0,0,Normal
41052,443,41052,443,4596,1689,2907,19,27,11,8,allow,1,0,Potential Threat
65249,53,43445,53,733,94,639,2,30,1,1,allow,0,0,Normal
58370,443,50234,443,6277528,124223,6153305,5970,160,1890,4080,allow,1,0,Potential Threat
56336,53,53884,53,196,102,94,2,35,1,1,allow,0,0,Normal
50465,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
50734,37965,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
57131,35776,0,0,145,145,0,1,0,1,0,deny,1,1,High Risk
33822,57470,0,0,66,66,0,1,0,1,0,deny,1,1,High Risk
55040,53,40859,53,762,98,664,2,31,1,1,allow,0,0,Normal
60678,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
33457,27015,0,0,67,67,0,1,0,1,0,deny,0,1,Known Attack
58638,5900,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
64559,53,43720,53,168,86,82,2,30,1,1,allow,0,0,Normal
62550,51505,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
50934,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
55032,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
65515,53,18245,53,195,102,93,2,31,1,1,allow,0,0,Normal
58923,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
49432,5228,59843,5228,10635,3087,7548,41,3661,22,19,allow,1,0,Potential Threat
63085,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
16327,55442,0,0,66,66,0,1,0,1,0,deny,1,1,High Risk
40786,53,0,0,82,82,0,1,30,1,0,allow,0,0,Normal
63000,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
64819,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
52306,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
35596,5228,54963,5228,3235,1448,1787,26,811,8,18,allow,1,0,Potential Threat
61508,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
62731,21247,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
50967,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
6881,37321,46991,37321,502,150,352,2,1199,1,1,allow,1,0,Potential Threat
50740,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
49818,53,22415,53,211,102,109,2,29,1,1,allow,0,0,Normal
55830,53,64690,53,183,94,89,2,30,1,1,allow,1,0,Potential Threat
32618,53,32618,53,231,90,141,2,31,1,1,allow,0,0,Normal
44498,53,11053,53,168,78,90,2,30,1,1,allow,0,0,Normal
52501,80,52501,80,79714,5592,74122,102,23,45,57,allow,1,0,Potential Threat
60024,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
10006,64147,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
49417,38558,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
33886,65504,0,0,162,162,0,1,0,1,0,deny,1,1,High Risk
64697,37965,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
22571,51505,0,0,66,66,0,1,0,1,0,deny,1,1,High Risk
63733,47013,29294,47013,70,70,0,1,5,1,0,allow,1,0,Potential Threat
9477,443,41654,443,7461,1448,6013,22,35,11,11,allow,1,0,Potential Threat
56802,80,23332,80,1559,762,797,14,30,7,7,allow,0,0,Normal
60008,443,9561,443,7060,1850,5210,35,110,21,14,allow,1,0,Potential Threat
42727,53,0,0,82,82,0,2,40,2,0,allow,0,0,Normal
40549,443,33434,443,5591,3194,2397,16,122,8,8,allow,1,0,Potential Threat
5357,32468,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
45908,33330,0,0,60,60,0,1,0,1,0,deny,0,1,Known Attack
56114,53,31669,53,194,86,108,2,30,1,1,allow,0,0,Normal
5588,5588,0,0,3562,1936,1626,48,192,24,24,allow,1,0,Potential Threat
55596,53,25789,53,194,102,92,2,31,1,1,allow,0,0,Normal
27110,22114,0,0,60,60,0,1,0,1,0,deny,0,1,Known Attack
49423,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
52352,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
58602,443,31018,443,3182,1568,1614,8,121,4,4,allow,1,0,Potential Threat
64244,53,29357,53,198,101,97,2,30,1,1,allow,0,0,Normal
44949,443,55206,443,190,70,120,4,15,2,2,allow,0,0,Normal
56478,53,62940,53,200,102,98,2,30,1,1,allow,1,0,Potential Threat
50191,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
49831,53,63335,53,198,94,104,2,30,1,1,allow,1,0,Potential Threat
56308,53,37236,53,184,94,90,2,31,1,1,allow,0,0,Normal
60516,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
53695,443,14454,443,4045,439,3606,11,15,5,6,allow,1,0,Potential Threat
51579,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
37900,53,2466,53,78,78,0,1,30,1,0,allow,0,0,Normal
61829,443,61829,443,280243,73972,206271,309,206,142,167,allow,1,0,Potential Threat
45941,23386,0,0,60,60,0,1,0,1,0,deny,0,1,Known Attack
55207,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
42345,443,8962,443,7593,2146,5447,21,10,12,9,allow,1,0,Potential Threat
55531,53,46307,53,216,110,106,2,30,1,1,allow,0,0,Normal
55719,13302,11300,13302,70,70,0,2,8,2,0,allow,1,0,Potential Threat
63002,22114,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
62941,57470,0,0,74,74,0,1,0,1,0,deny,1,1,High Risk
45964,2666,0,0,60,60,0,1,0,1,0,deny,0,1,Known Attack
63495,50584,0,0,66,66,0,1,0,1,0,deny,1,1,High Risk
53978,27091,3798,27091,320,140,180,6,7,3,3,allow,1,0,Potential Threat
50613,80,39114,80,85306,4735,80571,120,22,55,65,allow,1,0,Potential Threat
58959,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
57185,53,50357,53,784,94,690,2,30,1,1,allow,0,0,Normal
53634,443,2193,443,2005,1100,905,16,17,9,7,allow,1,0,Potential Threat
64219,53,14756,53,403,94,309,4,38,2,2,allow,0,0,Normal
56142,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
64835,53,1399,53,200,102,98,2,30,1,1,allow,0,0,Normal
55895,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
55087,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
35207,22114,0,0,146,146,0,1,0,1,0,deny,1,1,High Risk
60394,11136,28099,11136,7512,2276,5236,39,94,21,18,allow,1,0,Potential Threat
46557,57866,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
54598,53,30660,53,168,78,90,2,30,1,1,allow,0,0,Normal
50990,23884,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
53126,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
57606,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
49332,53,35822,53,276,118,158,2,30,1,1,allow,0,0,Normal
1865,25174,0,0,146,146,0,1,0,1,0,deny,1,1,High Risk
56101,57470,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
49508,443,35365,443,4151,1015,3136,16,27,8,8,allow,1,0,Potential Threat
57306,53,25248,53,177,94,83,2,29,1,1,allow,0,0,Normal
50139,443,27090,443,72523,5814,66709,125,255,61,64,allow,1,0,Potential Threat
51793,80,57988,80,3960,2330,1630,18,47,11,7,allow,1,0,Potential Threat
49926,53,63439,53,180,94,86,2,30,1,1,allow,1,0,Potential Threat
48978,25174,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
58638,5900,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
56951,443,11252,443,5601,1203,4398,14,60,9,5,allow,1,0,Potential Threat
56655,443,7969,443,1272,876,396,10,26,6,4,allow,1,0,Potential Threat
62578,53,27363,53,343,168,175,3,30,2,1,allow,0,0,Normal
47808,53,24079,53,168,78,90,2,30,1,1,allow,0,0,Normal
15933,64147,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
62133,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
23270,443,23270,443,5802,2592,3210,24,76,14,10,allow,1,0,Potential Threat
49573,443,42644,443,111881,6152,105729,137,139,51,86,allow,1,0,Potential Threat
37571,53,19977,53,164,78,86,2,30,1,1,allow,0,0,Normal
64029,53,26038,53,180,94,86,2,30,1,1,allow,0,0,Normal
56139,53,55354,53,306,94,212,2,30,1,1,allow,0,0,Normal
55752,53,39716,53,177,94,83,2,30,1,1,allow,0,0,Normal
38329,80,52994,80,350,210,140,6,16,4,2,allow,0,0,Normal
52903,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
50387,80,54775,80,8105,3187,4918,18,24,9,9,allow,1,0,Potential Threat
54977,443,65082,443,263411,11905,251506,318,144,118,200,allow,1,0,Potential Threat
64178,53,3511,53,276,94,182,2,30,1,1,allow,0,0,Normal
58061,80,39603,80,5571,2637,2934,23,75,12,11,allow,1,0,Potential Threat
49224,80,15279,80,2999,2271,728,11,15,6,5,allow,0,0,Normal
55620,30188,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
49880,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
58188,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
51324,11392,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
10151,11809,51182,11809,481,150,331,2,1200,1,1,allow,1,0,Potential Threat
50589,53,50328,53,733,85,648,2,30,1,1,allow,0,0,Normal
59168,39004,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
47832,443,4961,443,130090,7064,123026,184,200,92,92,allow,1,0,Potential Threat
13413,44847,0,0,66,66,0,1,0,1,0,deny,1,1,High Risk
49620,53,32011,53,198,110,88,2,30,1,1,allow,0,0,Normal
56592,53,10104,53,200,102,98,2,31,1,1,allow,0,0,Normal
55770,64147,0,0,66,66,0,1,0,1,0,deny,1,1,High Risk
49210,53,44765,53,183,94,89,2,30,1,1,allow,0,0,Normal
64900,53,55374,53,778,103,675,2,30,1,1,allow,1,0,Potential Threat
41472,443,2469,443,4500,2769,1731,29,80,14,15,allow,1,0,Potential Threat
5121,35440,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
57617,80,57617,80,542818,11392,531426,466,25,106,360,allow,1,0,Potential Threat
65486,53,61924,53,216,102,114,2,30,1,1,allow,1,0,Potential Threat
15105,25174,0,0,146,146,0,1,0,1,0,deny,1,1,High Risk
63814,81,0,0,60,60,0,1,0,1,0,deny,0,1,Known Attack
49558,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
65025,53,29192,53,786,110,676,2,29,1,1,allow,0,0,Normal
49505,53,46670,53,232,110,122,2,30,1,1,allow,0,0,Normal
49271,53,54358,53,186,102,84,2,30,1,1,allow,0,0,Normal
62705,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
46901,26672,0,0,60,60,0,1,0,1,0,deny,0,1,Known Attack
64811,53,21833,53,193,102,91,2,30,1,1,allow,0,0,Normal
56143,3389,56143,3389,4365,2581,1784,20,32,11,9,allow,1,0,Potential Threat
55674,48870,28202,48870,70,70,0,1,5,1,0,allow,1,0,Potential Threat
64313,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
33583,443,54351,443,479444,14906,464538,489,62,173,316,allow,1,0,Potential Threat
61278,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
10128,443,36900,443,22677,11756,10921,45,315,26,19,allow,1,0,Potential Threat
50439,80,32782,80,318,192,126,6,26,4,2,allow,0,0,Normal
53671,60416,30870,60416,70,70,0,1,4,1,0,allow,1,0,Potential Threat
53377,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
55934,53,39869,53,196,102,94,2,31,1,1,allow,0,0,Normal
48753,80,48753,80,19937,2162,17775,36,24,19,17,allow,1,0,Potential Threat
50112,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
53497,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
64852,53,7184,53,248,102,146,2,29,1,1,allow,0,0,Normal
25015,64147,0,0,66,66,0,1,0,1,0,deny,1,1,High Risk
43482,443,29764,443,2316,1280,1036,20,278,11,9,allow,1,0,Potential Threat
50448,443,40818,443,1119,595,524,12,26,6,6,allow,1,0,Potential Threat
28754,50584,0,0,66,66,0,1,0,1,0,deny,1,1,High Risk
60609,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
56006,23,0,0,60,60,0,1,0,1,0,deny,0,1,Known Attack
26989,80,26989,80,256062,8754,247308,297,18,124,173,allow,1,0,Potential Threat
55989,53,12123,53,198,102,96,2,30,1,1,allow,0,0,Normal
59634,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
54242,443,22470,443,499,425,74,4,0,3,1,allow,0,0,Normal
64493,53,34209,53,280,97,183,4,59,2,2,allow,0,0,Normal
49172,53,32719,53,227,102,125,2,29,1,1,allow,0,0,Normal
62593,7010,62593,7010,4231,2106,2125,15,15,8,7,allow,1,0,Potential Threat
53930,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
61209,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
64846,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
50665,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
60161,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
52543,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
56131,37807,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
45109,443,1117,443,11156,3899,7257,31,234,17,14,allow,1,0,Potential Threat
7110,25174,0,0,66,66,0,1,0,1,0,deny,1,1,High Risk
2037,23,2037,23,152,66,86,2,10,1,1,allow,1,0,Potential Threat
51780,21130,9712,21130,70,70,0,2,8,2,0,allow,1,0,Potential Threat
51394,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
64951,53,50176,53,402,118,284,2,30,1,1,allow,0,0,Normal
34306,37965,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
5588,5588,0,0,3354,1792,1562,46,192,23,23,allow,1,0,Potential Threat
63130,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
16387,61049,0,0,60,60,0,1,0,1,0,deny,1,1,High Risk
65283,53,11652,53,333,102,231,2,29,1,1,allow,0,0,Normal
62466,53,62466,53,194,87,107,2,30,1,1,allow,1,0,Potential Threat
1091,37965,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
58894,443,56665,443,354,294,60,2,4,1,1,allow,0,0,Normal
2849,30188,0,0,66,66,0,1,0,1,0,deny,1,1,High Risk
44131,443,6596,443,6582,1943,4639,14,122,7,7,allow,1,0,Potential Threat
35269,61903,0,0,145,145,0,1,0,1,0,deny,1,1,High Risk
49767,53,48677,53,200,102,98,2,30,1,1,allow,0,0,Normal
51837,37610,19513,37610,316,136,180,6,5,3,3,allow,1,0,Potential Threat
55163,53,35742,53,194,99,95,2,31,1,1,allow,0,0,Normal
49912,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
64296,53,31060,53,215,94,121,2,29,1,1,allow,0,0,Normal
55239,53,38143,53,272,94,178,2,30,1,1,allow,0,0,Normal
32299,40034,44134,40034,253,190,63,2,31,1,1,allow,1,0,Potential Threat
56745,80,35194,80,214,140,74,4,25,3,1,allow,0,0,Normal
60384,64147,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
49181,2710,53031,2710,70,70,0,2,8,2,0,allow,1,0,Potential Threat
60806,51050,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
52359,443,35892,443,13972,2550,11422,29,954,11,18,allow,1,0,Potential Threat
53661,34967,21536,34967,70,70,0,2,8,2,0,allow,1,0,Potential Threat
58841,443,62984,443,5168,700,4468,16,15,7,9,allow,1,0,Potential Threat
3964,51505,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
54961,53,55140,53,375,99,276,4,54,2,2,allow,0,0,Normal
51548,80,13460,80,1861,1219,642,10,15,5,5,allow,1,0,Potential Threat
63602,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
53403,443,55979,443,38342,14090,24252,83,159,40,43,allow,1,0,Potential Threat
50466,80,50466,80,78335,7114,71221,114,22,60,54,allow,1,0,Potential Threat
50460,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
49800,53,17712,53,87,87,0,1,30,1,0,allow,0,0,Normal
50656,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
56599,80,32983,80,234,234,0,4,12,4,0,allow,0,0,Normal
9731,64147,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
52097,23279,1789,23279,70,70,0,1,5,1,0,allow,1,0,Potential Threat
37555,16384,64075,16384,432,192,240,8,30,4,4,allow,1,0,Potential Threat
64144,53,47875,53,193,102,91,2,30,1,1,allow,0,0,Normal
57987,56125,0,0,90,90,0,1,0,1,0,deny,1,1,High Risk
53528,20485,38765,20485,70,70,0,2,7,2,0,allow,1,0,Potential Threat
30644,25174,0,0,62,62,0,1,0,1,0,deny,0,1,Known Attack
27005,27020,57425,27020,890,126,764,2,30,1,1,allow,1,0,Potential Threat
63201,53,63201,53,262,106,156,2,32,1,1,allow,1,0,Potential Threat
46500,443,37783,443,494,280,214,8,29,5,3,allow,0,0,Normal
56279,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
40216,443,24772,443,10196,2175,8021,25,186,14,11,allow,1,0,Potential Threat
8760,22114,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
16071,53,16071,53,832,106,726,2,30,1,1,allow,1,0,Potential Threat
60420,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
65529,53,12629,53,199,102,97,2,30,1,1,allow,0,0,Normal
59696,57470,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
65199,53,15810,53,215,94,121,2,30,1,1,allow,0,0,Normal
49494,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
61563,37807,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
61304,443,62811,443,8594,1042,7552,16,120,7,9,allow,1,0,Potential Threat
37202,53,37202,53,216,90,126,2,30,1,1,allow,0,0,Normal
52437,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
57470,51413,27069,51413,807,275,532,4,1200,2,2,allow,1,0,Potential Threat
56184,53,63317,53,215,94,121,2,30,1,1,allow,1,0,Potential Threat
53971,50265,0,0,66,66,0,1,0,1,0,deny,0,1,Known Attack
65130,53,36063,53,266,110,156,2,30,1,1,allow,0,0,Normal
64231,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
49160,13917,61966,13917,150,150,0,1,1201,1,0,allow,1,0,Potential Threat
51071,445,0,0,66,66,0,1,0,1,0,drop,0,1,Known Attack
55634,58846,20945,58846,70,70,0,1,5,1,0,allow,1,0,Potential Threat
56979,53,3476,53,180,94,86,2,30,1,1,allow,0,0,Normal
37132,443,37132,443,4381,1474,2907,19,27,11,8,allow,1,0,Potential Threat
53076,443,8791,443,96850,6037,90813,150,177,55,95,allow,1,0,Potential Threat
51925,29587,42996,29587,70,70,0,2,8,2,0,allow,1,0,Potential Threat
2305,35440,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
56245,53,14605,53,200,102,98,2,30,1,1,allow,0,0,Normal
58662,53,17171,53,167,78,89,2,31,1,1,allow,0,0,Normal
3341,23117,0,0,62,62,0,1,0,1,0,deny,1,1,High Risk
49917,445,0,0,70,70,0,1,0,1,0,drop,0,1,Known Attack
56589,53,35173,53,199,102,97,2,30,1,1,allow,0,0,Normal
